Date,price,zone
2/4/2019 5:00:00 AM,41.25854,PGAE
2/4/2019 5:00:00 AM,40.72149,SCE
2/4/2019 5:00:00 AM,41.29954,SDGE
2/4/2019 5:00:00 AM,40.47962,VEA
2/4/2019 6:00:00 AM,54.39675,PGAE
2/4/2019 6:00:00 AM,53.68820,SCE
2/4/2019 6:00:00 AM,54.64015,SDGE
2/4/2019 6:00:00 AM,53.46102,VEA
2/4/2019 7:00:00 AM,50.12494,PGAE
2/4/2019 7:00:00 AM,48.86736,SCE
2/4/2019 7:00:00 AM,49.75361,SDGE
2/4/2019 7:00:00 AM,48.34749,VEA
2/4/2019 8:00:00 AM,49.77705,PGAE
2/4/2019 8:00:00 AM,48.43199,SCE
2/4/2019 8:00:00 AM,49.19288,SDGE
2/4/2019 8:00:00 AM,47.51892,VEA
2/4/2019 9:00:00 AM,43.19941,PGAE
2/4/2019 9:00:00 AM,41.82328,SCE
2/4/2019 9:00:00 AM,42.49435,SDGE
2/4/2019 9:00:00 AM,40.96108,VEA
2/4/2019 10:00:00 AM,38.96165,PGAE
2/4/2019 10:00:00 AM,37.61537,SCE
2/4/2019 10:00:00 AM,38.30763,SDGE
2/4/2019 10:00:00 AM,36.94606,VEA
2/4/2019 11:00:00 AM,32.38827,PGAE
2/4/2019 11:00:00 AM,31.42284,SCE
2/4/2019 11:00:00 AM,31.81156,SDGE
2/4/2019 11:00:00 AM,30.73779,VEA
2/4/2019 12:00:00 PM,31.06775,PGAE
2/4/2019 12:00:00 PM,30.09612,SCE
2/4/2019 12:00:00 PM,30.67665,SDGE
2/4/2019 12:00:00 PM,29.33226,VEA
2/4/2019 1:00:00 PM,32.54000,PGAE
2/4/2019 1:00:00 PM,31.62898,SCE
2/4/2019 1:00:00 PM,32.39565,SDGE
2/4/2019 1:00:00 PM,30.86231,VEA
2/4/2019 2:00:00 PM,33.03257,PGAE
2/4/2019 2:00:00 PM,32.03395,SCE
2/4/2019 2:00:00 PM,32.72030,SDGE
2/4/2019 2:00:00 PM,31.33784,VEA
2/4/2019 3:00:00 PM,37.71265,PGAE
2/4/2019 3:00:00 PM,36.56049,SCE
2/4/2019 3:00:00 PM,37.56398,SDGE
2/4/2019 3:00:00 PM,35.78372,VEA
2/4/2019 4:00:00 PM,47.34450,PGAE
2/4/2019 4:00:00 PM,46.04912,SCE
2/4/2019 4:00:00 PM,47.27902,SDGE
2/4/2019 4:00:00 PM,45.22138,VEA
2/4/2019 5:00:00 PM,60.07090,PGAE
2/4/2019 5:00:00 PM,59.29363,SCE
2/4/2019 5:00:00 PM,60.51932,SDGE
2/4/2019 5:00:00 PM,58.16958,VEA
2/4/2019 6:00:00 PM,70.21158,PGAE
2/4/2019 6:00:00 PM,68.90982,SCE
2/4/2019 6:00:00 PM,69.84959,SDGE
2/4/2019 6:00:00 PM,67.74728,VEA
2/4/2019 7:00:00 PM,62.45963,PGAE
2/4/2019 7:00:00 PM,61.61491,SCE
2/4/2019 7:00:00 PM,62.63354,SDGE
2/4/2019 7:00:00 PM,60.49689,VEA
2/4/2019 8:00:00 PM,58.99832,PGAE
2/4/2019 8:00:00 PM,58.15339,SCE
2/4/2019 8:00:00 PM,59.41492,SDGE
2/4/2019 8:00:00 PM,57.13244,VEA
2/4/2019 9:00:00 PM,55.46151,PGAE
2/4/2019 9:00:00 PM,54.74968,SCE
2/4/2019 9:00:00 PM,55.77603,SDGE
2/4/2019 9:00:00 PM,53.86128,VEA
2/4/2019 10:00:00 PM,42.46188,PGAE
2/4/2019 10:00:00 PM,41.75411,SCE
2/4/2019 10:00:00 PM,42.34392,SDGE
2/4/2019 10:00:00 PM,41.08426,VEA
2/4/2019 11:00:00 PM,39.96154,PGAE
2/4/2019 11:00:00 PM,39.40591,SCE
2/4/2019 11:00:00 PM,39.79088,SDGE
2/4/2019 11:00:00 PM,38.80265,VEA
2/5/2019 12:00:00 AM,53.93380,PGAE
2/5/2019 12:00:00 AM,53.69171,SCE
2/5/2019 12:00:00 AM,53.91766,SDGE
2/5/2019 12:00:00 AM,53.31511,VEA
2/5/2019 1:00:00 AM,50.23019,PGAE
2/5/2019 1:00:00 AM,49.88992,SCE
2/5/2019 1:00:00 AM,50.10509,SDGE
2/5/2019 1:00:00 AM,49.60469,VEA
2/5/2019 2:00:00 AM,45.96319,PGAE
2/5/2019 2:00:00 AM,45.61076,SCE
2/5/2019 2:00:00 AM,45.87165,SDGE
2/5/2019 2:00:00 AM,45.37275,VEA
2/5/2019 3:00:00 AM,46.19141,PGAE
2/5/2019 3:00:00 AM,45.88758,SCE
2/5/2019 3:00:00 AM,46.21903,SDGE
2/5/2019 3:00:00 AM,45.66661,VEA
2/5/2019 4:00:00 AM,50.97918,PGAE
2/5/2019 4:00:00 AM,50.73000,SCE
2/5/2019 4:00:00 AM,51.04528,SDGE
2/5/2019 4:00:00 AM,50.48082,VEA
2/5/2019 5:00:00 AM,58.65229,PGAE
2/5/2019 5:00:00 AM,58.87566,SCE
2/5/2019 5:00:00 AM,59.16369,SDGE
2/5/2019 5:00:00 AM,58.57000,VEA
2/5/2019 6:00:00 AM,80.69036,PGAE
2/5/2019 6:00:00 AM,81.61624,SCE
2/5/2019 6:00:00 AM,81.90051,SDGE
2/5/2019 6:00:00 AM,81.17766,VEA
2/5/2019 7:00:00 AM,81.12127,PGAE
2/5/2019 7:00:00 AM,81.25127,SCE
2/5/2019 7:00:00 AM,81.92566,SDGE
2/5/2019 7:00:00 AM,80.77189,VEA
2/5/2019 8:00:00 AM,60.58081,PGAE
2/5/2019 8:00:00 AM,59.03358,SCE
2/5/2019 8:00:00 AM,59.43383,SDGE
2/5/2019 8:00:00 AM,58.30477,VEA
2/5/2019 9:00:00 AM,51.58579,PGAE
2/5/2019 9:00:00 AM,49.84330,SCE
2/5/2019 9:00:00 AM,50.37010,SDGE
2/5/2019 9:00:00 AM,48.51984,VEA
2/5/2019 10:00:00 AM,45.26652,PGAE
2/5/2019 10:00:00 AM,43.57207,SCE
2/5/2019 10:00:00 AM,44.13984,SDGE
2/5/2019 10:00:00 AM,42.15170,VEA
2/5/2019 11:00:00 AM,43.00542,PGAE
2/5/2019 11:00:00 AM,41.71081,SCE
2/5/2019 11:00:00 AM,42.15081,SDGE
2/5/2019 11:00:00 AM,40.26132,VEA
2/5/2019 12:00:00 PM,40.22856,PGAE
2/5/2019 12:00:00 PM,38.86602,SCE
2/5/2019 12:00:00 PM,39.39129,SDGE
2/5/2019 12:00:00 PM,37.33964,VEA
2/5/2019 1:00:00 PM,40.91741,PGAE
2/5/2019 1:00:00 PM,39.54332,SCE
2/5/2019 1:00:00 PM,40.09376,SDGE
2/5/2019 1:00:00 PM,37.98117,VEA
2/5/2019 2:00:00 PM,39.86061,PGAE
2/5/2019 2:00:00 PM,38.51000,SCE
2/5/2019 2:00:00 PM,39.10114,SDGE
2/5/2019 2:00:00 PM,37.15255,VEA
2/5/2019 3:00:00 PM,42.91794,PGAE
2/5/2019 3:00:00 PM,41.59180,SCE
2/5/2019 3:00:00 PM,42.14928,SDGE
2/5/2019 3:00:00 PM,40.69849,VEA
2/5/2019 4:00:00 PM,60.90827,PGAE
2/5/2019 4:00:00 PM,60.03028,SCE
2/5/2019 4:00:00 PM,61.25946,SDGE
2/5/2019 4:00:00 PM,58.69210,VEA
2/5/2019 5:00:00 PM,78.88482,PGAE
2/5/2019 5:00:00 PM,78.88482,SCE
2/5/2019 5:00:00 PM,80.24436,SDGE
2/5/2019 5:00:00 PM,77.05893,VEA
2/5/2019 6:00:00 PM,91.04514,PGAE
2/5/2019 6:00:00 PM,90.90820,SCE
2/5/2019 6:00:00 PM,90.93884,SDGE
2/5/2019 6:00:00 PM,90.95328,VEA
2/5/2019 7:00:00 PM,84.14000,PGAE
2/5/2019 7:00:00 PM,83.00173,SCE
2/5/2019 7:00:00 PM,84.58359,SDGE
2/5/2019 7:00:00 PM,81.42824,VEA
2/5/2019 8:00:00 PM,80.49006,PGAE
2/5/2019 8:00:00 PM,79.91966,SCE
2/5/2019 8:00:00 PM,81.34163,SDGE
2/5/2019 8:00:00 PM,78.21651,VEA
2/5/2019 9:00:00 PM,76.00729,PGAE
2/5/2019 9:00:00 PM,75.93119,SCE
2/5/2019 9:00:00 PM,77.09550,SDGE
2/5/2019 9:00:00 PM,74.18853,VEA
2/5/2019 10:00:00 PM,60.23475,PGAE
2/5/2019 10:00:00 PM,60.28300,SCE
2/5/2019 10:00:00 PM,61.00676,SDGE
2/5/2019 10:00:00 PM,59.52306,VEA
2/5/2019 11:00:00 PM,56.51617,PGAE
2/5/2019 11:00:00 PM,56.53881,SCE
2/5/2019 11:00:00 PM,57.55197,SDGE
2/5/2019 11:00:00 PM,55.94450,VEA
2/6/2019 12:00:00 AM,72.52857,PGAE
2/6/2019 12:00:00 AM,70.95093,SCE
2/6/2019 12:00:00 AM,71.70389,SDGE
2/6/2019 12:00:00 AM,70.75731,VEA
2/6/2019 1:00:00 AM,70.41225,PGAE
2/6/2019 1:00:00 AM,68.55875,SCE
2/6/2019 1:00:00 AM,69.14187,SDGE
2/6/2019 1:00:00 AM,68.44074,VEA
2/6/2019 2:00:00 AM,70.10860,PGAE
2/6/2019 2:00:00 AM,68.14752,SCE
2/6/2019 2:00:00 AM,68.74137,SDGE
2/6/2019 2:00:00 AM,67.72630,VEA
2/6/2019 3:00:00 AM,70.89179,PGAE
2/6/2019 3:00:00 AM,68.53198,SCE
2/6/2019 3:00:00 AM,69.04014,SDGE
2/6/2019 3:00:00 AM,68.47629,VEA
2/6/2019 4:00:00 AM,72.47471,PGAE
2/6/2019 4:00:00 AM,70.47541,SCE
2/6/2019 4:00:00 AM,71.10376,SDGE
2/6/2019 4:00:00 AM,70.31118,VEA
2/6/2019 5:00:00 AM,91.31204,PGAE
2/6/2019 5:00:00 AM,89.74582,SCE
2/6/2019 5:00:00 AM,90.73263,SDGE
2/6/2019 5:00:00 AM,89.62812,VEA
2/6/2019 6:00:00 AM,120.90000,PGAE
2/6/2019 6:00:00 AM,118.21094,SCE
2/6/2019 6:00:00 AM,119.27461,SDGE
2/6/2019 6:00:00 AM,118.34241,VEA
2/6/2019 7:00:00 AM,107.05549,PGAE
2/6/2019 7:00:00 AM,102.59397,SCE
2/6/2019 7:00:00 AM,103.86121,SDGE
2/6/2019 7:00:00 AM,102.54161,VEA
2/6/2019 8:00:00 AM,68.47899,PGAE
2/6/2019 8:00:00 AM,63.75624,SCE
2/6/2019 8:00:00 AM,64.75370,SDGE
2/6/2019 8:00:00 AM,62.10803,VEA
2/6/2019 9:00:00 AM,50.97428,PGAE
2/6/2019 9:00:00 AM,42.32428,SCE
2/6/2019 9:00:00 AM,43.06809,SDGE
2/6/2019 9:00:00 AM,40.73606,VEA
2/6/2019 10:00:00 AM,45.48795,PGAE
2/6/2019 10:00:00 AM,29.84979,SCE
2/6/2019 10:00:00 AM,30.91584,SDGE
2/6/2019 10:00:00 AM,29.02615,VEA
2/6/2019 11:00:00 AM,42.63333,PGAE
2/6/2019 11:00:00 AM,29.24496,SCE
2/6/2019 11:00:00 AM,29.77991,SDGE
2/6/2019 11:00:00 AM,28.09778,VEA
2/6/2019 12:00:00 PM,42.02071,PGAE
2/6/2019 12:00:00 PM,21.57176,SCE
2/6/2019 12:00:00 PM,22.34690,SDGE
2/6/2019 12:00:00 PM,21.20251,VEA
2/6/2019 1:00:00 PM,42.05407,PGAE
2/6/2019 1:00:00 PM,21.29390,SCE
2/6/2019 1:00:00 PM,22.07204,SDGE
2/6/2019 1:00:00 PM,21.22157,VEA
2/6/2019 2:00:00 PM,45.12172,PGAE
2/6/2019 2:00:00 PM,29.44354,SCE
2/6/2019 2:00:00 PM,29.76810,SDGE
2/6/2019 2:00:00 PM,28.32160,VEA
2/6/2019 3:00:00 PM,50.19054,PGAE
2/6/2019 3:00:00 PM,40.07907,SCE
2/6/2019 3:00:00 PM,40.73111,SDGE
2/6/2019 3:00:00 PM,39.46519,VEA
2/6/2019 4:00:00 PM,73.11449,PGAE
2/6/2019 4:00:00 PM,70.86615,SCE
2/6/2019 4:00:00 PM,72.75418,SDGE
